frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,1,64186.50,77.81,265.15,5,0.00,35.71,23.20,0.0688,Thumbs Up
1,3,27000.00,390.35,309.24,6,66.10,76.92,10.58,0.0688,OK
2,3,24207.00,396.20,301.01,7,49.26,83.33,11.46,0.0688,OK
3,3,27062.50,401.23,274.95,6,45.50,83.33,12.33,0.0591,OK
4,2,30501.00,402.10,269.92,11,79.74,76.92,13.63,0.0591,Rock
5,4,32294.50,403.96,312.57,8,53.74,76.92,14.70,0.0591,4 Fingers
6,1,70821.00,152.80,242.12,11,0.00,83.33,15.75,0.0596,Thumbs Up
7,3,29919.50,401.90,301.18,7,71.67,83.33,16.63,0.0596,OK
8,3,29809.00,408.28,295.77,11,54.65,83.33,17.51,0.0596,OK
9,2,32486.00,410.28,302.55,10,63.45,71.43,18.65,0.0461,Rock
10,2,31233.00,395.13,281.85,9,38.63,90.91,19.53,0.0461,Rock
11,3,36054.00,361.96,263.23,8,60.84,83.33,20.63,0.0461,OK
12,4,99014.50,315.35,319.86,6,66.51,83.33,21.51,0.0502,4 Fingers
13,1,45978.00,411.97,226.64,9,0.00,90.91,22.65,0.0502,Thumbs Up
14,5,46478.00,366.06,225.33,8,50.29,83.33,23.53,0.0502,Palm
15,5,49755.50,355.64,249.45,10,50.05,83.33,24.63,0.0409,Palm
16,3,48877.00,364.61,266.33,12,58.17,76.92,25.51,0.0409,OK
17,2,46885.00,366.12,280.67,9,53.03,83.33,26.39,0.0409,Rock
18,2,44791.00,365.56,280.33,8,51.06,71.43,27.53,0.0644,Rock
19,2,52501.50,369.98,270.64,9,80.94,62.50,9.28,0.0644,Rock
20,2,61427.00,370.61,264.04,8,73.65,76.92,10.29,0.0531,Rock
21,2,51780.00,356.90,267.17,8,76.62,62.50,11.30,0.0531,Rock
22,2,42669.50,353.42,278.32,9,49.52,76.92,12.60,0.0531,Rock
23,2,40564.00,354.32,282.99,7,51.15,71.43,13.77,0.0381,Rock
24,2,38737.50,352.26,282.16,8,48.36,83.33,14.65,0.0381,Rock
25,2,40689.00,354.51,272.79,8,45.89,83.33,15.53,0.0381,Rock
26,2,39329.50,352.16,267.23,7,40.24,76.92,16.41,0.0410,Rock
27,2,41045.50,355.56,277.48,8,36.19,62.50,17.29,0.0410,Rock
28,3,49330.50,369.39,274.81,7,59.85,71.43,18.46,0.0410,OK
29,5,78717.00,372.06,255.89,8,56.78,111.11,19.78,0.0556,Palm
30,4,151947.50,316.39,258.07,10,58.42,83.33,20.66,0.0556,4 Fingers
31,2,195416.50,282.83,235.98,8,40.20,83.33,21.83,0.0556,Peace
32,1,185107.00,265.17,233.39,8,0.00,76.92,22.71,0.0600,Thumbs Up
33,3,59479.50,309.72,339.76,7,74.52,90.91,23.78,0.0600,OK
34,2,24248.00,85.60,360.48,7,52.33,125.00,24.66,0.0600,Peace
35,2,18411.50,325.50,245.29,7,36.80,111.11,25.54,0.0435,Rock
36,2,17877.50,195.77,374.93,4,35.08,71.43,26.71,0.0435,Rock
37,1,19295.50,229.55,226.99,4,0.00,90.91,27.78,0.0435,Thumbs Up
38,1,33187.50,161.76,316.93,8,0.00,90.91,28.66,0.0575,Thumbs Up
39,4,30510.50,149.11,300.31,5,38.57,83.33,29.54,0.0575,4 Fingers
40,4,59080.00,246.06,280.55,9,63.48,83.33,30.42,0.0501,4 Fingers
41,2,32432.50,298.64,245.07,9,58.90,76.92,31.78,0.0501,Rock
42,4,31796.00,142.72,315.04,7,47.52,76.92,32.95,0.0501,4 Fingers
43,2,26738.00,336.31,232.19,8,37.76,58.82,33.96,0.0611,Rock
44,2,26294.00,338.81,236.65,11,57.99,50.00,34.90,0.0611,Rock
45,2,23663.00,333.77,236.74,10,62.43,62.50,35.91,0.0659,Rock
46,2,23954.50,332.06,235.53,8,51.59,90.91,36.79,0.0659,Rock
47,2,24253.50,331.66,236.46,8,51.08,76.92,37.67,0.0659,Peace
48,2,24371.50,332.96,237.33,6,45.31,90.91,38.84,0.0486,Rock
49,3,30383.50,126.44,333.30,7,47.71,83.33,39.78,0.0486,OK
50,4,33662.00,120.85,334.91,7,43.39,142.86,40.66,0.0402,4 Fingers
51,4,34204.50,119.55,337.71,6,59.74,90.91,41.54,0.0402,4 Fingers
52,3,162322.50,329.55,331.09,11,64.66,90.91,42.42,0.0402,OK
53,1,236171.50,351.25,262.94,9,0.00,90.91,43.78,0.0456,Thumbs Up
54,1,273147.00,335.19,241.63,9,0.00,111.11,44.66,0.0456,Thumbs Up
55,3,250276.00,348.93,239.21,10,64.58,66.67,45.54,0.0456,OK
56,2,6876.50,619.87,90.27,5,78.72,83.33,46.42,0.0415,Peace
